;GO:0019518;GO:0007099;GO:0045807;GO:0032691;GO:0006283;GO:0007257;GO:0008344;GO:0006446;GO:0006565;GO:0071493;GO:0072583;GO:0051246;GO:0001701;GO:2000355;GO:0019886;GO:0032720;GO:0050830;GO:0051403;GO:0016239;GO:0006296;GO:0050728;GO:0006293;GO:0006294;GO:0015680;GO:0000226;GO:0046627;GO:0006334;GO:0045019;GO:0051894;GO:0010824;GO:0051496;GO:0046597;GO:0048013;GO:0016242;GO:2000001;GO:0032436;GO:0010265;GO:0010389;GO:2000368;GO:0000715;GO:1904355;GO:0008285;GO:0090156;GO:0008284;GO:0043486;GO:0097193;GO:2000819;GO:0006813;GO:0000165;GO:0048268;GO:0000281;GO:0045792;GO:0015804;GO:0032780;GO:0000209;GO:0006672;GO:0043379;GO:0032496;GO:0007050;GO:0018108;GO:1902475;GO:0090650;GO:0099590;GO:0051291;GO:0061418;GO:1903204;GO:0043666;GO:0006886;GO:0006884;GO:0032802;GO:0098656;GO:0032929;GO:0010977;GO:0016055;GO:0006919;GO:0019722;GO:0032007;GO:0017148;GO:0055007;GO:0010972;GO:1900060;GO:0034260;GO:0045859;GO:0046827;GO:0007341;GO:1905477;GO:0043312;GO:0006771;GO:0006897;GO:0051973;GO:0006407;GO:0043161;GO:0007219;GO:0030218;GO:0001756;GO:0002329;GO:0019430;GO:0031146;GO:0070911;GO:0050767;GO:0030853;GO:0030214;GO:0016567;GO:0090630;GO:0009615;GO:0043687;GO:0000122;GO:0000086;GO:0032868;GO:0045596;GO:0000082;GO:0032465;GO:0071356;GO:0060071;GO:0016311;GO:0042769;GO:1900087;GO:0006351;GO:0045116;GO:0046323;GO:1901215;GO:0006513;GO:0090090;GO:0051353;GO:0097711;GO:0045087;GO:0071347;GO:0032212;GO:0034599;GO:0070498;GO:0032695
GO:0042769;0.01468324974140624;0.01468324974140624;0.0;0.0;0.32330823750762483;0.0;0.0;0.0;0.01468324974140624;0.1912422969752877;0.0;0.0;0.0;0.0;0.0;0.0;0.17988792517482602;0.24991089615047335;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.11807622278079505;0.01468324974140624;0.01468324974140624;0.0;0.1912422969752877;0.01468324974140624;0.01468324974140624;0.24991089615047335;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.32330823750762483;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.11807622278079505;0.01468324974140624;0.0;0.01468324974140624;0.11807622278079505;0.0;0.01468324974140624;0.0;0.1912422969752877;0.01468324974140624;0.01468324974140624;1.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.17988792517482602;0.1912422969752877;0.0;0.24991089615047335;0.01468324974140624;0.0
GO:1900087;0.036692364793703955;0.0;0.12755981097713553;0.042064647228987374;0.0;0.12755981097713553;0.0;0.047799631016701725;0.0;0.0;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.047799631016701725;0.12755981097713553;0.0;0.042064647228987374;0.12755981097713553;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.12755981097713553;0.3306880877895893;0.12755981097713553;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.28025216105938716;0.12755981097713553;0.0;0.40085005211593094;0.12755981097713553;0.0;0.12755981097713553;0.047799631016701725;0.036692364793703955;0.12755981097713553;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.28025216105938716;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.40085005211593094;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.11511873865597294;0.0;0.11511873865597294;0.0;0.0;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.3306880877895893;0.0;0.047799631016701725;0.0;0.0;1.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.11511873865597294;0.0;0.0;0.0;0.12755981097713553;0.0;0.047799631016701725;0.042064647228987374
GO:0006351;0.07548231845693805;0.01468324974140624;0.0;0.0;0.15084348231066635;0.0;0.0;0.0;0.07548231845693805;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10587402764930422;0.0;0.15084348231066635;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.10587402764930422;0.12826917739045696;0.01468324974140624;0.0;0.01468324974140624;0.10587402764930422;0.0;0.01468324974140624;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.10587402764930422;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.13549442901423786;0.0;0.0;0.0;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.06886689890529227;0.10587402764930422;0.15084348231066635;0.0;0.0;0.08547128021085358;0.10587402764930422;0.0;0.0;0.10587402764930422;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.06886689890529227;0.01468324974140624;0.0;1.0;0.10587402764930422;0.0;0.0;0.10587402764930422;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0
GO:0045116;0.1237146889194086;0.01468324974140624;0.0;0.0;0.10587402764930422;0.0;0.0;0.0;0.1237146889194086;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18032682375526765;0.0;0.08547128021085358;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.18032682375526765;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.3308353593672433;0.1237146889194086;0.01468324974140624;0.0;0.01468324974140624;0.18032682375526765;0.0;0.01468324974140624;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.16963854658900165;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.1237146889194086;0.0;0.0;0.0;0.1468397877411918;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.06886689890529227;0.1468397877411918;0.10587402764930422;0.0;0.0;0.1237146889194086;0.3308353593672433;0.0;0.0;0.18032682375526765;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.06886689890529227;0.01468324974140624;0.0;0.10587402764930422;1.0;0.0;0.0;0.3308353593672433;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0
GO:0046323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.21812588790229387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.272550487440867;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.21812588790229387;0.0;0.0;0.272550487440867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14698621595948655;0.0;0.14698621595948655;0.0;0.21812588790229387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.13331334997803274;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901215;0.036692364793703955;0.0;0.047799631016701725;0.12804570306913615;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.0;0.042064647228987374;0.0;0.12804570306913615;0.0;0.12804570306913615;0.0;0.047799631016701725;0.047799631016701725;0.0;0.12804570306913615;0.047799631016701725;0.0;0.0;0.0;0.13839445927415203;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12804570306913615;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.13839445927415203;0.036692364793703955;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.4649617241252561;0.047799631016701725;0.0;0.036692364793703955;0.0;0.0;0.13839445927415203;0.13839445927415203;0.047799631016701725;0.24022938999252305;0.047799631016701725;0.13839445927415203;0.13839445927415203;0.0;0.13839445927415203;0.13839445927415203;0.12804570306913615;0.047799631016701725;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.13839445927415203;0.0;0.0;0.036692364793703955;0.0;0.0;0.13839445927415203;0.0;0.0;0.13839445927415203;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;1.0;0.0;0.13839445927415203;0.042064647228987374;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.12804570306913615
GO:0006513;0.1237146889194086;0.01468324974140624;0.0;0.0;0.10587402764930422;0.0;0.0;0.0;0.1237146889194086;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18032682375526765;0.0;0.08547128021085358;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.18032682375526765;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.33753466430360807;0.1237146889194086;0.01468324974140624;0.0;0.01468324974140624;0.18032682375526765;0.0;0.01468324974140624;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.16963854658900165;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.1237146889194086;0.0;0.0;0.0;0.1468397877411918;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.06886689890529227;0.1468397877411918;0.10587402764930422;0.0;0.0;0.1237146889194086;0.33753466430360807;0.0;0.0;0.18032682375526765;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.06886689890529227;0.01468324974140624;0.0;0.10587402764930422;0.3308353593672433;0.0;0.0;1.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0
GO:0090090;0.036692364793703955;0.0;0.047799631016701725;0.12804570306913615;0.0;0.1786822519641151;0.0;0.047799631016701725;0.0;0.0;0.0;0.042064647228987374;0.0;0.12804570306913615;0.0;0.12804570306913615;0.0;0.047799631016701725;0.047799631016701725;0.0;0.250245473135147;0.047799631016701725;0.0;0.0;0.0;0.274741083875601;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12804570306913615;0.047799631016701725;0.13839445927415203;0.1492331351584338;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.13839445927415203;0.036692364793703955;0.047799631016701725;0.0;0.047799631016701725;0.1492331351584338;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.250245473135147;0.047799631016701725;0.0;0.036692364793703955;0.0;0.0;0.13839445927415203;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.274741083875601;0.13839445927415203;0.0;0.13839445927415203;0.13839445927415203;0.12804570306913615;0.047799631016701725;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.13839445927415203;0.0;0.0;0.036692364793703955;0.0;0.0;0.13839445927415203;0.0;0.0;0.13839445927415203;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.13839445927415203;0.0;1.0;0.042064647228987374;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.12804570306913615
GO:0051353;0.036692364793703955;0.0;0.11511873865597294;0.042064647228987374;0.0;0.25833176065663566;0.0;0.09795404577404272;0.0;0.0;0.0;0.09795404577404272;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.17111199477934044;0.0;0.042064647228987374;0.11511873865597294;0.0;0.0;0.0;0.042064647228987374;0.0;0.09795404577404272;0.11511873865597294;0.042064647228987374;0.11511873865597294;0.042064647228987374;0.042064647228987374;0.09795404577404272;0.042064647228987374;0.17111199477934044;0.0;0.042064647228987374;0.11511873865597294;0.0;0.17111199477934044;0.042064647228987374;0.036692364793703955;0.11511873865597294;0.0;0.042064647228987374;0.09795404577404272;0.0;0.042064647228987374;0.0;0.0;0.036692364793703955;0.0;0.20819522445199756;0.0;0.0;0.0;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.09795404577404272;0.042064647228987374;0.20819522445199756;0.0;0.036692364793703955;0.0;0.0;0.09795404577404272;0.042064647228987374;0.042064647228987374;0.25833176065663566;0.042064647228987374;0.042064647228987374;0.09795404577404272;0.0;0.042064647228987374;0.09795404577404272;0.20819522445199756;0.20819522445199756;0.11511873865597294;0.0;0.11511873865597294;0.0;0.0;0.0;0.25833176065663566;0.0;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.25833176065663566;0.0;0.0;0.09795404577404272;0.0;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.11511873865597294;0.0;0.0;0.0;0.042064647228987374;0.0;0.042064647228987374;1.0;0.0;0.0;0.0;0.17111199477934044;0.0;0.042064647228987374;0.042064647228987374
GO:0097711;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.13331334997803274;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.2147074070362994;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.13331334997803274;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.13331334997803274;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.13331334997803274;0.01468324974140624;0.2147074070362994;0.01468324974140624;0.01468324974140624;0.0;0.0;0.2147074070362994;0.01468324974140624;0.01468324974140624;0.13331334997803274;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13331334997803274;0.01468324974140624;0.13331334997803274;0.0;0.2147074070362994;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.13331334997803274;0.0;0.01468324974140624;0.0;0.0;1.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0
GO:0045087;0.0;0.0;0.0;0.0;0.17988792517482602;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.27499689082764317;0.17988792517482602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20709043845653538;0.11807622278079505;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.17988792517482602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.17988792517482602;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.17988792517482602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.11807622278079505;0.0;0.17988792517482602;0.0;0.0
GO:0071347;0.01468324974140624;0.01468324974140624;0.0;0.0;0.1912422969752877;0.0;0.0;0.0;0.01468324974140624;0.1912422969752877;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.1912422969752877;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.21955571243929653;0.01468324974140624;0.01468324974140624;0.0;0.2473380912762773;0.01468324974140624;0.01468324974140624;0.1912422969752877;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.1912422969752877;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.11807622278079505;0.01468324974140624;0.0;0.01468324974140624;0.21955571243929653;0.0;0.01468324974140624;0.0;0.389258783642085;0.01468324974140624;0.01468324974140624;0.1912422969752877;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.11807622278079505;1.0;0.0;0.2473380912762773;0.01468324974140624;0.0
GO:0032212;0.16702085169111647;0.0;0.27776606418114075;0.042064647228987374;0.0;0.1816892161000484;0.0;0.14806647662370065;0.0;0.0;0.0;0.10900961301269105;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.047799631016701725;0.17811780918080672;0.0;0.042064647228987374;0.27776606418114075;0.0;0.0;0.0;0.047799631016701725;0.0;0.16702085169111647;0.27776606418114075;0.27081478360302164;0.3490127006068281;0.042064647228987374;0.047799631016701725;0.10577604256148812;0.047799631016701725;0.1816892161000484;0.0;0.047799631016701725;0.12755981097713553;0.0;0.5998779231494608;0.047799631016701725;0.16702085169111647;0.12755981097713553;0.0;0.047799631016701725;0.39216992717517446;0.0;0.047799631016701725;0.0;0.0;0.16702085169111647;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.14806647662370065;0.047799631016701725;0.10900961301269105;0.0;0.16702085169111647;0.0;0.0;0.10577604256148812;0.20397374928165476;0.047799631016701725;0.1816892161000484;0.047799631016701725;0.047799631016701725;0.14806647662370065;0.0;0.047799631016701725;0.14613499162995364;0.042064647228987374;0.10900961301269105;0.11511873865597294;0.0;0.11511873865597294;0.0;0.0;0.0;0.574629051418289;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.0;0.14806647662370065;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.12755981097713553;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.17111199477934044;0.0;0.0;0.0;1.0;0.0;0.047799631016701725;0.042064647228987374
GO:0034599;0.01468324974140624;0.01468324974140624;0.0;0.0;0.24991089615047335;0.0;0.0;0.0;0.01468324974140624;0.1912422969752877;0.0;0.0;0.0;0.0;0.0;0.0;0.17988792517482602;0.24991089615047335;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.19673256925640645;0.01468324974140624;0.01468324974140624;0.0;0.2473380912762773;0.01468324974140624;0.01468324974140624;0.24991089615047335;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.24991089615047335;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.11807622278079505;0.01468324974140624;0.0;0.01468324974140624;0.19673256925640645;0.0;0.01468324974140624;0.0;0.2473380912762773;0.01468324974140624;0.01468324974140624;0.24991089615047335;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.17988792517482602;0.2473380912762773;0.0;1.0;0.01468324974140624;0.0
GO:0070498;0.036692364793703955;0.01468324974140624;0.047799631016701725;0.042064647228987374;0.01468324974140624;0.047799631016701725;0.0;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.12659489728285286;0.047799631016701725;0.01468324974140624;0.042064647228987374;0.047799631016701725;0.01468324974140624;0.0;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.2052608479739753;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.01468324974140624;0.12659489728285286;0.047799631016701725;0.0;0.12659489728285286;0.01468324974140624;0.01468324974140624;0.036692364793703955;0.0;0.036692364793703955;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.047799631016701725;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.036692364793703955;0.01468324974140624;0.0;0.047799631016701725;0.047799631016701725;0.2052608479739753;0.047799631016701725;0.12659489728285286;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.042064647228987374;0.0;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.0;0.047799631016701725;0.0;0.01468324974140624;0.2052608479739753;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.036692364793703955;0.0;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.0;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.2052608479739753;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.0;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.042064647228987374;0.01468324974140624;0.0;0.01468324974140624;0.047799631016701725;0.01468324974140624;1.0;0.042064647228987374
