;GO:0006281;GO:0042417;GO:2001054;GO:0032570;GO:0060009;GO:0045124;GO:0061337;GO:0006203;GO:0001942;GO:0045892;GO:0030949;GO:0042262;GO:0050679;GO:0038027;GO:0045815;GO:0071805;GO:2000010;GO:0065003;GO:0000902;GO:0007268;GO:0042542;GO:0006334;GO:0014909;GO:0048010;GO:0051495;GO:0032717;GO:0001836;GO:0050847;GO:0050727;GO:0018149;GO:0035544;GO:0031346;GO:1903543;GO:0045665;GO:0006024;GO:0045666;GO:0045787;GO:0002064;GO:0043124;GO:0045944;GO:0048935;GO:0043129;GO:0043524;GO:0048538;GO:0006027;GO:0002576;GO:0007229;GO:0072086;GO:0048384;GO:0001523;GO:0000281;GO:0019221;GO:0006816;GO:0051384;GO:0034446;GO:0010875;GO:0032147;GO:0016079;GO:0010595;GO:0050731;GO:0045715;GO:0071947;GO:1903553;GO:0090200;GO:0044344;GO:0048701;GO:0048666;GO:0043410;GO:0045955;GO:0009306;GO:0071391;GO:0006307;GO:0007517;GO:1990830;GO:0045046;GO:0071300;GO:0001657;GO:0050748;GO:0031960;GO:0010888;GO:0050900;GO:0001938;GO:0070059;GO:0017157;GO:0030512;GO:2000027;GO:0016569;GO:0008380;GO:0061136;GO:0042738;GO:1902476;GO:0006366;GO:0006886;GO:0043271;GO:0071294;GO:0010977;GO:0046784;GO:0045055;GO:0055002;GO:0050911;GO:0006919;GO:0071456;GO:0016575;GO:0016973;GO:0032369;GO:0016578;GO:1900181;GO:0035871;GO:0060271;GO:0007186;GO:0032482;GO:0043277;GO:1900740;GO:0002052;GO:0002053;GO:0048210;GO:0030855;GO:0043161;GO:0071442;GO:0001755;GO:0045860;GO:0048333;GO:0042471;GO:0010745;GO:0035627;GO:0010469;GO:0072659;GO:0030335;GO:0016567;GO:0034656;GO:0046718;GO:2001032;GO:0060982;GO:0035065;GO:0021852;GO:0051591;GO:0048699;GO:0043687;GO:0061436;GO:0000122;GO:0032869;GO:0045596;GO:0032508;GO:0051461;GO:0010951;GO:0060070;GO:0010793;GO:0035176;GO:0042407;GO:0006351;GO:0006355;GO:0051481;GO:0007166;GO:0060219;GO:0048627;GO:0006357;GO:0006511;GO:0072272;GO:0048752;GO:0006904;GO:0006508;GO:0043065;GO:0033148;GO:0031124;GO:0010569;GO:0033700;GO:0070536;GO:0071108;GO:2001037
GO:0032508;0.25;0.25;0.0;0.0;0.2857142857142857;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.25;0.0;0.26666666666666666;0.0;0.2222222222222222;0.0;0.46153846153846156;0.46153846153846156;0.25;0.0;0.375;0.13333333333333333;0.23529411764705882;0.0;0.0;0.5333333333333333;0.23529411764705882;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.23529411764705882;0.26666666666666666;0.0;0.26666666666666666;0.23529411764705882;0.2857142857142857;0.26666666666666666;0.0;0.0;0.26666666666666666;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.13333333333333333;0.0;0.3076923076923077;0.0;0.0;0.23529411764705882;0.3076923076923077;0.2222222222222222;0.0;0.26666666666666666;0.1;0.26666666666666666;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.25;0.0;0.0;0.0;0.42857142857142855;0.11764705882352941;0.0;0.14285714285714285;0.0;0.10526315789473684;0.0;0.0;0.26666666666666666;0.0;0.0;0.25;0.2857142857142857;0.0;0.0;0.26666666666666666;0.3333333333333333;0.0;0.0;0.3157894736842105;0.0;0.10526315789473684;0.5333333333333333;0.2857142857142857;0.23529411764705882;0.0;0.10526315789473684;0.0;0.0;0.5;0.15384615384615385;0.2222222222222222;0.0;0.26666666666666666;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.13333333333333333;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.14285714285714285;0.25;0.0;0.0;0.23529411764705882;0.0;1.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.5;0.1111111111111111;0.0;0.2;0.2857142857142857;0.25;0.3076923076923077;0.0;0.23529411764705882;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.10526315789473684;0.10526315789473684;0.0
GO:0051461;0.0;0.0;0.3;0.0;0.0;0.4444444444444444;0.5263157894736842;0.0;0.0;0.2727272727272727;0.42105263157894735;0.0;0.4444444444444444;0.1111111111111111;0.42105263157894735;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.42105263157894735;0.4444444444444444;0.0;0.1;0.3333333333333333;0.0;0.3;0.4444444444444444;0.38095238095238093;0.1;0.0;0.5;0.47058823529411764;0.0;0.4;0.34782608695652173;0.0;0.21052631578947367;0.3;0.0;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.38095238095238093;0.34782608695652173;0.0;0.47619047619047616;0.36363636363636365;0.3;0.0;0.4;0.47619047619047616;0.0;0.0;0.0;0.36363636363636365;0.6363636363636364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.3333333333333333;0.0;0.42105263157894735;0.10526315789473684;0.7368421052631579;0.4;0.47058823529411764;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.32;0.0;0.0;0.0;0.3333333333333333;0.0;0.3157894736842105;0.0;0.0;0.11764705882352941;0.1;0.0;0.36363636363636365;0.5;0.4444444444444444;0.0;0.0;0.0;0.3333333333333333;0.0;0.36363636363636365;0.0;0.0;0.3333333333333333;0.0;0.2222222222222222;0.0;0.42105263157894735;0.0;0.0;0.0;0.2857142857142857;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.1;0.2608695652173913;0.0;0.35294117647058826;0.0;1.0;0.18181818181818182;0.1;0.2857142857142857;0.0;0.0;0.0;0.2857142857142857;0.17391304347826086;0.11764705882352941;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.4;0.0;0.2857142857142857;0.0;0.0;0.0;0.43478260869565216
GO:0010951;0.0;0.0;0.5;0.0;0.0;0.2222222222222222;0.10526315789473684;0.0;0.0;0.5454545454545454;0.42105263157894735;0.0;0.4444444444444444;0.1111111111111111;0.5263157894736842;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.42105263157894735;0.4444444444444444;0.0;0.1;0.2222222222222222;0.0;0.5;0.4444444444444444;0.19047619047619047;0.1;0.0;0.1;0.47058823529411764;0.0;0.5;0.43478260869565216;0.0;0.21052631578947367;0.5;0.0;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.19047619047619047;0.34782608695652173;0.0;0.19047619047619047;0.6363636363636364;0.7;0.0;0.2;0.38095238095238093;0.0;0.0;0.0;0.6363636363636364;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7368421052631579;0.0;0.4444444444444444;0.0;0.42105263157894735;0.10526315789473684;0.42105263157894735;0.5;0.23529411764705882;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.72;0.0;0.0;0.0;0.4444444444444444;0.0;0.42105263157894735;0.0;0.0;0.11764705882352941;0.1;0.0;0.09090909090909091;0.1;0.4444444444444444;0.0;0.0;0.0;0.5833333333333334;0.0;0.36363636363636365;0.0;0.0;0.5555555555555556;0.0;0.3333333333333333;0.0;0.42105263157894735;0.0;0.0;0.0;0.47619047619047616;0.0;0.6363636363636364;0.0;0.0;0.0;0.0;0.1;0.5217391304347826;0.0;0.5882352941176471;0.0;0.18181818181818182;1.0;0.1;0.47619047619047616;0.0;0.0;0.0;0.47619047619047616;0.17391304347826086;0.47058823529411764;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.4;0.0;0.47619047619047616;0.0;0.0;0.0;0.34782608695652173
GO:0060070;0.23529411764705882;0.23529411764705882;0.1111111111111111;0.0;0.13333333333333333;0.125;0.11764705882352941;0.09090909090909091;0.0;0.1;0.11764705882352941;0.23529411764705882;0.125;0.125;0.11764705882352941;0.21052631578947367;0.11764705882352941;0.14285714285714285;0.14285714285714285;0.11764705882352941;0.0;0.11764705882352941;0.125;0.1111111111111111;0.11764705882352941;0.125;0.125;0.1111111111111111;0.125;0.23529411764705882;0.1111111111111111;0.125;0.10526315789473684;0.1111111111111111;0.0;0.1111111111111111;0.13333333333333333;0.14285714285714285;0.1111111111111111;0.09523809523809523;0.13333333333333333;0.11764705882352941;0.1111111111111111;0.0;0.0;0.2222222222222222;0.125;0.0;0.125;0.2222222222222222;0.13333333333333333;0.125;0.0;0.0;0.125;0.10526315789473684;0.09523809523809523;0.10526315789473684;0.10526315789473684;0.1;0.1111111111111111;0.1;0.1111111111111111;0.10526315789473684;0.125;0.0;0.14285714285714285;0.1;0.1;0.2222222222222222;0.14285714285714285;0.10526315789473684;0.0;0.25;0.09523809523809523;0.25;0.0;0.11764705882352941;0.0;0.125;0.13333333333333333;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.1111111111111111;0.13333333333333333;0.13333333333333333;0.1111111111111111;0.10526315789473684;0.13333333333333333;0.0;0.1;0.0;0.125;0.25;0.10526315789473684;0.0;0.23529411764705882;0.13333333333333333;0.0;0.08695652173913043;0.25;0.10526315789473684;0.0;0.125;0.1;0.11764705882352941;0.1;0.125;0.13333333333333333;0.1111111111111111;0.0;0.1;0.1111111111111111;0.125;0.11764705882352941;0.14285714285714285;0.10526315789473684;0.09090909090909091;0.125;0.1;0.14285714285714285;0.0;0.125;0.0;0.125;0.0;0.11764705882352941;0.21052631578947367;0.125;0.0;0.10526315789473684;0.0;0.1;0.1;0.0;0.13333333333333333;0.23529411764705882;0.1111111111111111;0.09523809523809523;0.1111111111111111;0.13333333333333333;0.23529411764705882;0.1;0.1;1.0;0.10526315789473684;0.0;0.23529411764705882;0.10526315789473684;0.10526315789473684;0.19047619047619047;0.13333333333333333;0.11764705882352941;0.14285714285714285;0.1;0.1111111111111111;0.0;0.0;0.125;0.0;0.11764705882352941;0.1111111111111111;0.10526315789473684;0.10526315789473684;0.0;0.1;0.1;0.09523809523809523
GO:0010793;0.0;0.0;0.3157894736842105;0.0;0.0;0.23529411764705882;0.1111111111111111;0.0;0.0;0.5714285714285714;0.3333333333333333;0.0;0.35294117647058826;0.11764705882352941;0.6666666666666666;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.3333333333333333;0.35294117647058826;0.0;0.10526315789473684;0.35294117647058826;0.0;0.5263157894736842;0.35294117647058826;0.5;0.10526315789473684;0.0;0.10526315789473684;0.375;0.0;0.3157894736842105;0.5454545454545454;0.0;0.2222222222222222;0.3157894736842105;0.0;0.0;0.0;0.11764705882352941;0.0;0.11764705882352941;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.5;0.45454545454545453;0.0;0.3;0.47619047619047616;0.5263157894736842;0.0;0.3157894736842105;0.3;0.0;0.0;0.0;0.47619047619047616;0.47619047619047616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.47058823529411764;0.0;0.3333333333333333;0.1111111111111111;0.5555555555555556;0.3157894736842105;0.375;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.1;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.5882352941176471;0.0;0.5555555555555556;0.0;0.0;0.125;0.10526315789473684;0.0;0.47619047619047616;0.10526315789473684;0.35294117647058826;0.0;0.0;0.0;0.43478260869565216;0.0;0.47619047619047616;0.0;0.0;0.35294117647058826;0.0;0.23529411764705882;0.0;0.4444444444444444;0.0;0.0;0.0;0.5;0.0;0.47619047619047616;0.0;0.0;0.0;0.0;0.10526315789473684;0.5454545454545454;0.0;0.375;0.0;0.2857142857142857;0.47619047619047616;0.10526315789473684;1.0;0.0;0.0;0.0;0.6;0.18181818181818182;0.125;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3157894736842105;0.0;0.5;0.0;0.0;0.0;0.2727272727272727
GO:0035176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042407;0.25;0.25;0.0;0.0;0.2857142857142857;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.25;0.0;0.26666666666666666;0.0;0.2222222222222222;0.0;0.46153846153846156;0.46153846153846156;0.25;0.0;0.375;0.13333333333333333;0.23529411764705882;0.0;0.0;0.6666666666666666;0.23529411764705882;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.23529411764705882;0.26666666666666666;0.0;0.26666666666666666;0.23529411764705882;0.2857142857142857;0.26666666666666666;0.0;0.0;0.26666666666666666;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.13333333333333333;0.0;0.3076923076923077;0.0;0.0;0.23529411764705882;0.3076923076923077;0.2222222222222222;0.0;0.26666666666666666;0.1;0.26666666666666666;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.25;0.0;0.0;0.0;0.42857142857142855;0.11764705882352941;0.0;0.14285714285714285;0.0;0.10526315789473684;0.0;0.0;0.26666666666666666;0.0;0.0;0.25;0.2857142857142857;0.0;0.0;0.26666666666666666;0.3333333333333333;0.0;0.0;0.3157894736842105;0.0;0.10526315789473684;0.5333333333333333;0.2857142857142857;0.23529411764705882;0.0;0.631578947368421;0.0;0.0;0.125;0.15384615384615385;0.2222222222222222;0.0;0.26666666666666666;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.13333333333333333;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.14285714285714285;0.25;0.0;0.0;0.23529411764705882;0.0;0.5;0.0;0.0;0.23529411764705882;0.0;0.0;1.0;0.1111111111111111;0.0;0.2;0.2857142857142857;0.25;0.3076923076923077;0.0;0.23529411764705882;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.10526315789473684;0.10526315789473684;0.0
GO:0006351;0.4444444444444444;0.2222222222222222;0.0;0.0;0.125;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.4444444444444444;0.0;0.11764705882352941;0.0;0.2;0.0;0.13333333333333333;0.13333333333333333;0.1111111111111111;0.0;0.1111111111111111;0.11764705882352941;0.10526315789473684;0.0;0.0;0.11764705882352941;0.10526315789473684;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.13333333333333333;0.0;0.0;0.125;0.0;0.0;0.0;0.47058823529411764;0.10526315789473684;0.11764705882352941;0.0;0.11764705882352941;0.21052631578947367;0.125;0.11764705882352941;0.0;0.0;0.11764705882352941;0.0;0.0;0.1;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.11764705882352941;0.0;0.13333333333333333;0.0;0.0;0.10526315789473684;0.13333333333333333;0.1;0.0;0.11764705882352941;0.09090909090909091;0.11764705882352941;0.0;0.0;0.0;0.0;0.125;0.0;0.1111111111111111;0.0;0.0;0.0;0.125;0.10526315789473684;0.0;0.125;0.0;0.9523809523809523;0.0;0.0;0.11764705882352941;0.0;0.0;0.1111111111111111;0.125;0.0;0.0;0.11764705882352941;0.1;0.0;0.0;0.09523809523809523;0.0;0.38095238095238093;0.11764705882352941;0.125;0.10526315789473684;0.0;0.09523809523809523;0.0;0.0;0.1111111111111111;0.13333333333333333;0.4;0.0;0.11764705882352941;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.23529411764705882;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.125;0.4444444444444444;0.0;0.0;0.10526315789473684;0.0;0.1111111111111111;0.0;0.0;0.10526315789473684;0.0;0.0;0.1111111111111111;1.0;0.0;0.09090909090909091;0.125;0.1111111111111111;0.13333333333333333;0.0;0.42105263157894735;0.0;0.0;0.11764705882352941;0.5;0.0;0.0;0.4;0.0;0.0;0.38095238095238093;0.38095238095238093;0.0
GO:0006355;0.0;0.0;0.42105263157894735;0.0;0.0;0.23529411764705882;0.1111111111111111;0.0;0.0;0.9523809523809523;0.4444444444444444;0.0;0.47058823529411764;0.11764705882352941;0.6666666666666666;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.4444444444444444;0.35294117647058826;0.0;0.10526315789473684;0.35294117647058826;0.0;0.42105263157894735;0.47058823529411764;0.3;0.10526315789473684;0.0;0.10526315789473684;0.5;0.0;0.42105263157894735;0.9090909090909091;0.0;0.2222222222222222;0.42105263157894735;0.0;0.0;0.0;0.11764705882352941;0.0;0.11764705882352941;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.3;0.45454545454545453;0.0;0.3;0.47619047619047616;0.631578947368421;0.0;0.3157894736842105;0.4;0.0;0.0;0.0;0.47619047619047616;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.35294117647058826;0.0;0.4444444444444444;0.1111111111111111;0.4444444444444444;0.42105263157894735;0.375;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.1;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.35294117647058826;0.0;0.3333333333333333;0.0;0.0;0.5;0.10526315789473684;0.0;0.09523809523809523;0.10526315789473684;0.47058823529411764;0.0;0.0;0.0;0.43478260869565216;0.0;0.47619047619047616;0.0;0.0;0.47058823529411764;0.0;0.23529411764705882;0.0;0.4444444444444444;0.0;0.0;0.0;0.5;0.0;0.47619047619047616;0.0;0.0;0.0;0.0;0.10526315789473684;0.9090909090909091;0.0;0.5;0.0;0.2857142857142857;0.47619047619047616;0.10526315789473684;0.6;0.0;0.0;0.0;1.0;0.18181818181818182;0.5;0.0;0.0;0.9523809523809523;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.42105263157894735;0.0;0.5;0.0;0.0;0.0;0.36363636363636365
GO:0051481;0.2;0.2;0.19047619047619047;0.0;0.2222222222222222;0.3157894736842105;0.1;0.16;0.0;0.17391304347826086;0.2;0.2;0.21052631578947367;0.21052631578947367;0.2;0.18181818181818182;0.2;0.11764705882352941;0.11764705882352941;0.2;0.0;0.2;0.10526315789473684;0.19047619047619047;0.2;0.21052631578947367;0.21052631578947367;0.19047619047619047;0.21052631578947367;0.2;0.19047619047619047;0.21052631578947367;0.18181818181818182;0.09523809523809523;0.0;0.09523809523809523;0.2222222222222222;0.23529411764705882;0.19047619047619047;0.16666666666666666;0.2222222222222222;0.4;0.19047619047619047;0.0;0.0;0.19047619047619047;0.21052631578947367;0.0;0.21052631578947367;0.19047619047619047;0.2222222222222222;0.21052631578947367;0.0;0.0;0.21052631578947367;0.18181818181818182;0.16666666666666666;0.18181818181818182;0.18181818181818182;0.17391304347826086;0.19047619047619047;0.17391304347826086;0.19047619047619047;0.18181818181818182;0.10526315789473684;0.0;0.23529411764705882;0.17391304347826086;0.17391304347826086;0.19047619047619047;0.23529411764705882;0.18181818181818182;0.0;0.21052631578947367;0.08333333333333333;0.21052631578947367;0.0;0.2;0.0;0.3157894736842105;0.1111111111111111;0.2;0.2;0.2;0.19047619047619047;0.2222222222222222;0.2222222222222222;0.09523809523809523;0.18181818181818182;0.1111111111111111;0.0;0.08695652173913043;0.0;0.21052631578947367;0.21052631578947367;0.09090909090909091;0.0;0.2;0.2222222222222222;0.0;0.15384615384615385;0.21052631578947367;0.18181818181818182;0.0;0.21052631578947367;0.17391304347826086;0.2;0.08695652173913043;0.10526315789473684;0.2222222222222222;0.19047619047619047;0.0;0.08695652173913043;0.09523809523809523;0.21052631578947367;0.1;0.11764705882352941;0.18181818181818182;0.08;0.21052631578947367;0.17391304347826086;0.11764705882352941;0.0;0.21052631578947367;0.0;0.21052631578947367;0.0;0.2;0.18181818181818182;0.10526315789473684;0.0;0.18181818181818182;0.0;0.17391304347826086;0.17391304347826086;0.0;0.1111111111111111;0.2;0.09523809523809523;0.16666666666666666;0.19047619047619047;0.2222222222222222;0.2;0.17391304347826086;0.17391304347826086;0.19047619047619047;0.18181818181818182;0.0;0.2;0.09090909090909091;0.18181818181818182;1.0;0.2222222222222222;0.2;0.23529411764705882;0.17391304347826086;0.19047619047619047;0.0;0.0;0.21052631578947367;0.0;0.2;0.19047619047619047;0.09090909090909091;0.18181818181818182;0.0;0.08695652173913043;0.08695652173913043;0.16666666666666666
GO:0007166;0.2857142857142857;0.2857142857142857;0.5333333333333333;0.0;0.16666666666666666;0.15384615384615385;0.14285714285714285;0.10526315789473684;0.0;0.47058823529411764;0.5714285714285714;0.2857142857142857;0.6153846153846154;0.9230769230769231;0.14285714285714285;0.25;0.14285714285714285;0.18181818181818182;0.18181818181818182;0.14285714285714285;0.0;0.14285714285714285;0.15384615384615385;0.13333333333333333;0.5714285714285714;0.15384615384615385;0.15384615384615385;0.13333333333333333;0.15384615384615385;0.2857142857142857;0.5333333333333333;0.6153846153846154;0.125;0.13333333333333333;0.0;0.13333333333333333;0.6666666666666666;0.18181818181818182;0.5333333333333333;0.4444444444444444;0.16666666666666666;0.14285714285714285;0.5333333333333333;0.0;0.0;0.26666666666666666;0.9230769230769231;0.0;0.15384615384615385;0.26666666666666666;0.16666666666666666;0.9230769230769231;0.0;0.0;0.15384615384615385;0.125;0.1111111111111111;0.125;0.125;0.47058823529411764;0.5333333333333333;0.11764705882352941;0.13333333333333333;0.5;0.15384615384615385;0.0;0.18181818181818182;0.47058823529411764;0.47058823529411764;0.26666666666666666;0.18181818181818182;0.125;0.0;0.3076923076923077;0.1111111111111111;0.3076923076923077;0.0;0.5714285714285714;0.0;0.15384615384615385;0.16666666666666666;0.5714285714285714;0.14285714285714285;0.5714285714285714;0.5333333333333333;0.16666666666666666;0.16666666666666666;0.13333333333333333;0.5;0.16666666666666666;0.0;0.11764705882352941;0.0;0.15384615384615385;0.3076923076923077;0.125;0.0;0.2857142857142857;0.16666666666666666;0.0;0.4;0.3076923076923077;0.125;0.0;0.15384615384615385;0.11764705882352941;0.14285714285714285;0.11764705882352941;0.15384615384615385;0.16666666666666666;0.13333333333333333;0.0;0.11764705882352941;0.13333333333333333;0.6153846153846154;0.14285714285714285;0.18181818181818182;0.125;0.42105263157894735;0.15384615384615385;0.11764705882352941;0.18181818181818182;0.0;0.6153846153846154;0.0;0.15384615384615385;0.0;0.5714285714285714;0.25;0.15384615384615385;0.0;0.5;0.0;0.47058823529411764;0.11764705882352941;0.0;0.16666666666666666;0.2857142857142857;0.13333333333333333;0.4444444444444444;0.13333333333333333;0.6666666666666666;0.2857142857142857;0.11764705882352941;0.47058823529411764;0.13333333333333333;0.125;0.0;0.2857142857142857;0.125;0.5;0.2222222222222222;1.0;0.14285714285714285;0.18181818181818182;0.47058823529411764;0.13333333333333333;0.0;0.0;0.15384615384615385;0.0;0.5714285714285714;0.5333333333333333;0.125;0.5;0.0;0.11764705882352941;0.11764705882352941;0.4444444444444444
GO:0060219;0.25;0.25;0.0;0.0;0.14285714285714285;0.0;0.0;0.09523809523809523;0.15384615384615385;0.0;0.0;0.25;0.0;0.13333333333333333;0.0;0.2222222222222222;0.0;0.15384615384615385;0.15384615384615385;0.125;0.0;0.125;0.13333333333333333;0.11764705882352941;0.0;0.0;0.13333333333333333;0.11764705882352941;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.23529411764705882;0.13333333333333333;0.0;0.13333333333333333;0.23529411764705882;0.14285714285714285;0.13333333333333333;0.0;0.0;0.13333333333333333;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.13333333333333333;0.13333333333333333;0.15384615384615385;0.0;0.0;0.23529411764705882;0.15384615384615385;0.1111111111111111;0.15384615384615385;0.26666666666666666;0.1;0.26666666666666666;0.11764705882352941;0.0;0.0;0.0;0.14285714285714285;0.0;0.125;0.0;0.0;0.0;0.14285714285714285;0.11764705882352941;0.0;0.14285714285714285;0.0;0.10526315789473684;0.0;0.0;0.26666666666666666;0.0;0.0;0.25;0.14285714285714285;0.0;0.0;0.26666666666666666;0.1111111111111111;0.0;0.0;0.10526315789473684;0.0;0.10526315789473684;0.13333333333333333;0.14285714285714285;0.11764705882352941;0.0;0.10526315789473684;0.0;0.0;0.125;0.15384615384615385;0.1111111111111111;0.0;0.13333333333333333;0.0;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.13333333333333333;0.0;0.0;0.13333333333333333;0.0;0.10526315789473684;0.0;0.14285714285714285;0.25;0.0;0.0;0.11764705882352941;0.0;0.25;0.0;0.0;0.11764705882352941;0.0;0.0;0.25;0.1111111111111111;0.0;0.2;0.14285714285714285;1.0;0.15384615384615385;0.0;0.11764705882352941;0.0;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.10526315789473684;0.10526315789473684;0.0
