;GO:0014066;GO:0061614;GO:0046579;GO:0046854;GO:0090330;GO:1902715;GO:0045648;GO:0051092;GO:0045766;GO:0008589;GO:0030307;GO:0032725;GO:0001666;GO:0046068;GO:0045893;GO:0071895;GO:0032689;GO:0071899;GO:0035556;GO:0021702;GO:0034220;GO:0050728;GO:0050729;GO:0007265;GO:0045652;GO:0021943;GO:0046627;GO:0032713;GO:0032714;GO:0001558;GO:0001837;GO:0051259;GO:0051897;GO:0043923;GO:0043406;GO:0033089;GO:0008285;GO:1904355;GO:0008284;GO:0038095;GO:0043124;GO:1904996;GO:0045944;GO:0033081;GO:0043401;GO:0032825;GO:0000165;GO:0019221;GO:0043011;GO:0045670;GO:0001649;GO:0050852;GO:0030522;GO:0050853;GO:0031295;GO:0038083;GO:0043536;GO:0045954;GO:0050862;GO:0070050;GO:0042692;GO:2001237;GO:0032496;GO:0050900;GO:0021879;GO:0006882;GO:0006366;GO:0046777;GO:0043303;GO:0045843;GO:0006367;GO:0060326;GO:2000318;GO:0043392;GO:0032922;GO:0002437;GO:0045332;GO:0043030;GO:0030509;GO:0043154;GO:0051607;GO:0032760;GO:0071456;GO:0006919;GO:0051209;GO:0030223;GO:2001244;GO:0010575;GO:2000570;GO:0007223;GO:0042100;GO:0042102;GO:0021861;GO:0045063;GO:0030217;GO:0007616;GO:0030854;GO:0051973;GO:0010906;GO:0001755;GO:0001756;GO:0070233;GO:0032355;GO:0002728;GO:0006809;GO:0018105;GO:0072539;GO:0036315;GO:0030578;GO:0032753;GO:0030335;GO:0043967;GO:0043966;GO:0090630;GO:1904837;GO:0042753;GO:1903507;GO:0000122;GO:0010718;GO:0030326;GO:0002534;GO:0001569;GO:0071353;GO:0047496;GO:0032740;GO:0060070;GO:0071356;GO:0070301;GO:0060850;GO:0006351;GO:0034243;GO:0033153;GO:0006470;GO:0045599;GO:0007565;GO:0007169;GO:0046329;GO:0048747;GO:0090090;GO:0045086;GO:0006509;GO:0046330;GO:0045087;GO:0070374;GO:0032696;GO:0071864;GO:0071347;GO:0032212;GO:0071866
GO:0010575;0.4;0.0;0.4;0.0;0.43852901558847923;0.6830074998557688;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.43852901558847923;0.5356143810225276;0.8;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.48300749985576874;0.43852901558847923;0.0;0.0;0.4;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.4;0.6000000000000001;0.6000000000000001;0.48300749985576874;0.0;0.0;0.43852901558847923;0.43852901558847923;0.4;0.43852901558847923;0.43852901558847923;0.4;0.5356143810225276;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.4;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.4;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.0;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.3660149997115376;0.0;0.3660149997115376;0.0;0.0;0.0;0.2599120563717816;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.4;0.3660149997115376;0.4;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3356143810225276;0.0;0.6830074998557688;0.0;0.3660149997115376;0.43852901558847923;0.0;0.43852901558847923;1.0;0.3356143810225276;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.0;0.48300749985576874;0.4;0.43852901558847923;0.0;0.0;0.2830074998557688;0.0;0.5356143810225276;0.3356143810225276;0.0;0.0;0.0;0.0;0.8;0.48300749985576874;0.0;0.0;0.3081136762725405;0.0;0.6000000000000001;0.3356143810225276;0.3356143810225276;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.8;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0;0.4;0.0;0.43852901558847923;0.3356143810225276;0.0;0.3660149997115376;0.6830074998557688;0.0;0.3660149997115376;0.0;0.4;0.6000000000000001;0.48300749985576874;0.0;0.4;0.3356143810225276
GO:2000570;0.2830074998557688;0.0;0.2830074998557688;0.0;0.4;0.3081136762725405;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.3081136762725405;0.4;0.3356143810225276;0.0;0.0;0.3081136762725405;0.0;0.2830074998557688;0.3356143810225276;0.3356143810225276;0.0;0.0;0.2830074998557688;0.3356143810225276;0.3081136762725405;0.3356143810225276;0.0;0.3081136762725405;0.2830074998557688;0.2830074998557688;0.3356143810225276;0.0;0.0;0.3081136762725405;0.3081136762725405;0.2830074998557688;0.5356143810225276;0.3356143810225276;0.2830074998557688;0.4;0.3081136762725405;0.2599120563717816;0.5356143810225276;0.2830074998557688;0.48300749985576874;0.3081136762725405;0.48300749985576874;0.3081136762725405;0.3081136762725405;0.0;0.3081136762725405;0.0;0.3081136762725405;0.3356143810225276;0.3081136762725405;0.6000000000000001;0.0;0.3081136762725405;0.3356143810225276;0.3660149997115376;0.2599120563717816;0.0;0.2599120563717816;0.0;0.0;0.0;0.18250743174993223;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.3356143810225276;0.2599120563717816;0.2830074998557688;0.0;0.3081136762725405;0.43852901558847923;0.3081136762725405;0.2599120563717816;0.0;0.3081136762725405;0.0;0.2830074998557688;0.3081136762725405;0.0;0.3081136762725405;0.3356143810225276;1.0;0.3081136762725405;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.3356143810225276;0.3081136762725405;0.3081136762725405;0.0;0.0;0.21862188087829626;0.0;0.3081136762725405;0.23852901558847928;0.0;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.0;0.0;0.21862188087829626;0.0;0.4;0.2599120563717816;0.23852901558847928;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.3081136762725405;0.0;0.23852901558847928;0.0;0.0;0.3081136762725405;0.0;0.3081136762725405;0.2599120563717816;0.0;0.2599120563717816;0.3081136762725405;0.0;0.2599120563717816;0.0;0.2830074998557688;0.2830074998557688;0.3660149997115376;0.0;0.3081136762725405;0.2599120563717816
GO:0007223;0.43852901558847923;0.8;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.4;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.4;0.4;0.8;0.43852901558847923;0.5356143810225276;0.8;0.8;0.0;0.43852901558847923;0.43852901558847923;0.8;0.43852901558847923;0.8;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.8;0.8;0.4;0.8;0.3660149997115376;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.8;0.4;0.4;0.3660149997115376;0.3660149997115376;0.8;0.3660149997115376;0.8;0.8;0.8;0.4;0.8;0.8;0.8;0.8;0.6000000000000001;0.4;0.4;0.43852901558847923;0.4;0.6830074998557688;0.8;0.4;0.0;0.8;0.8;0.43852901558847923;0.8;0.43852901558847923;0.8;0.43852901558847923;0.8;0.8;0.3660149997115376;0.48300749985576874;0.6830074998557688;0.0;0.8;0.48300749985576874;0.8;0.3660149997115376;0.0;0.4;0.6000000000000001;0.3356143810225276;0.8;0.8;0.4;0.43852901558847923;0.3081136762725405;1.0;0.48300749985576874;0.3660149997115376;0.8;0.8;0.8;0.0;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.8;0.0;0.3081136762725405;0.0;0.4;0.5356143810225276;0.43852901558847923;0.8;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.8;0.8;0.4;0.8;0.5356143810225276;0.3660149997115376;0.3660149997115376;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.8;0.43852901558847923;0.8;0.48300749985576874;0.5356143810225276;0.8;0.8;0.3660149997115376;0.8;0.48300749985576874;0.43852901558847923;0.0;0.8;0.3660149997115376;0.8;0.4;0.4;0.0;0.3660149997115376;0.0;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.3660149997115376
GO:0042100;0.0;0.48300749985576874;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.2830074998557688;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.5356143810225276;0.48300749985576874;0.3081136762725405;0.48300749985576874;0.3081136762725405;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.4;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;1.0;0.0;0.48300749985576874;0.5356143810225276;0.6000000000000001;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.3660149997115376;0.3081136762725405;0.5356143810225276;0.3660149997115376;0.3356143810225276;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.48300749985576874;0.0;0.48300749985576874;0.3356143810225276;0.3660149997115376;0.0;0.48300749985576874;0.0;0.5356143810225276;0.3356143810225276;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.3356143810225276;0.0;0.0
GO:0042102;0.3356143810225276;0.0;0.3356143810225276;0.0;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.4;0.3660149997115376;0.48300749985576874;0.4;0.0;0.0;0.3660149997115376;0.0;0.3356143810225276;0.4;0.4;0.0;0.0;0.3356143810225276;0.4;0.3660149997115376;0.4;0.0;0.3660149997115376;0.3356143810225276;0.3356143810225276;0.4;0.0;0.0;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.6830074998557688;0.48300749985576874;0.3356143810225276;0.6000000000000001;0.3660149997115376;0.3081136762725405;0.6830074998557688;0.3356143810225276;0.6000000000000001;0.3660149997115376;0.6000000000000001;0.3660149997115376;0.3660149997115376;0.0;0.3660149997115376;0.0;0.3660149997115376;0.4;0.3660149997115376;0.8;0.0;0.3660149997115376;0.4;0.43852901558847923;0.3081136762725405;0.0;0.3081136762725405;0.0;0.0;0.0;0.21862188087829626;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.4;0.3081136762725405;0.3356143810225276;0.0;0.3660149997115376;0.5356143810225276;0.3660149997115376;0.3081136762725405;0.0;0.3660149997115376;0.0;0.3356143810225276;0.3660149997115376;0.0;0.3660149997115376;0.4;0.6000000000000001;0.3660149997115376;0.0;1.0;0.0;0.0;0.0;0.0;0.4;0.3660149997115376;0.3660149997115376;0.0;0.0;0.2599120563717816;0.0;0.3660149997115376;0.2830074998557688;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.2599120563717816;0.0;0.48300749985576874;0.3081136762725405;0.2830074998557688;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.4;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.2830074998557688;0.0;0.0;0.3660149997115376;0.0;0.3660149997115376;0.3081136762725405;0.0;0.3081136762725405;0.3660149997115376;0.0;0.3081136762725405;0.0;0.3356143810225276;0.3356143810225276;0.5356143810225276;0.0;0.3660149997115376;0.3081136762725405
GO:0021861;0.0;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.8;0.8;0.0;0.4;0.0;0.0;0.0;0.6830074998557688;0.8;0.0;0.0;0.8;0.8;0.43852901558847923;0.8;0.43852901558847923;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.6000000000000001;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.48300749985576874;0.0;1.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.8;0.5356143810225276;0.48300749985576874;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.48300749985576874;0.8;0.0;0.8;0.48300749985576874;0.5356143810225276;0.0;0.8;0.0;0.8;0.48300749985576874;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0
GO:0045063;0.0;0.8;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.8;0.8;0.6830074998557688;0.3660149997115376;0.0;0.0;0.0;0.6000000000000001;0.8;0.0;0.0;0.8;0.8;0.4;0.8;0.4;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.6830074998557688;0.8;0.0;0.8;0.0;0.6830074998557688;0.0;0.5356143810225276;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.5356143810225276;0.0;0.8;1.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.5356143810225276;0.4;0.8;0.48300749985576874;0.43852901558847923;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.43852901558847923;0.8;0.0;0.8;0.43852901558847923;0.48300749985576874;0.0;0.8;0.0;0.8;0.43852901558847923;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.43852901558847923;0.0;0.0
GO:0030217;0.0;0.8;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.8;0.8;0.6830074998557688;0.3660149997115376;0.0;0.0;0.0;0.6000000000000001;0.8;0.0;0.0;0.8;0.8;0.4;0.8;0.4;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.6830074998557688;0.8;0.0;0.8;0.0;0.6830074998557688;0.0;0.5356143810225276;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.6000000000000001;0.0;0.8;0.8;1.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.5356143810225276;0.4;0.8;0.48300749985576874;0.43852901558847923;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.43852901558847923;0.8;0.0;0.8;0.43852901558847923;0.48300749985576874;0.0;0.8;0.0;0.8;0.43852901558847923;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.43852901558847923;0.0;0.0
GO:0007616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030854;0.3660149997115376;0.0;0.3660149997115376;0.0;0.4;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.48300749985576874;0.4;0.5356143810225276;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.4;0.4;0.43852901558847923;0.0;0.0;0.3356143810225276;0.4;0.3660149997115376;0.6000000000000001;0.0;0.4;0.4;0.4;0.43852901558847923;0.0;0.0;0.4;0.3660149997115376;0.3660149997115376;0.5356143810225276;0.43852901558847923;0.3660149997115376;0.5356143810225276;0.3660149997115376;0.3356143810225276;0.3660149997115376;0.3356143810225276;0.48300749985576874;0.4;0.6000000000000001;0.4;0.4;0.0;0.6830074998557688;0.0;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.4;0.0;0.43852901558847923;0.4;0.43852901558847923;0.3081136762725405;0.0;0.3356143810225276;0.0;0.0;0.0;0.21862188087829626;0.0;0.0;0.0;0.4;0.0;0.0;0.4;0.3081136762725405;0.3356143810225276;0.0;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.3356143810225276;0.0;0.43852901558847923;0.0;0.3660149997115376;0.4;0.0;0.4;0.48300749985576874;0.3356143810225276;0.3660149997115376;0.0;0.4;0.0;0.0;0.0;0.0;1.0;0.4;0.4;0.0;0.0;0.2830074998557688;0.0;0.3660149997115376;0.2830074998557688;0.0;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.2599120563717816;0.0;0.48300749985576874;0.3356143810225276;0.3081136762725405;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.3081136762725405;0.0;0.0;0.48300749985576874;0.0;0.3660149997115376;0.3356143810225276;0.0;0.3356143810225276;0.43852901558847923;0.0;0.3356143810225276;0.0;0.3660149997115376;0.4;0.48300749985576874;0.0;0.4;0.3356143810225276
GO:0051973;0.3660149997115376;0.0;0.3660149997115376;0.0;0.4;0.4;0.43852901558847923;0.5356143810225276;0.4;0.4;0.5356143810225276;0.4;0.0;0.0;0.5356143810225276;0.0;0.3356143810225276;0.4;0.43852901558847923;0.0;0.0;0.3356143810225276;0.4;0.43852901558847923;0.4;0.0;0.4;0.3356143810225276;0.3356143810225276;0.43852901558847923;0.0;0.0;0.4;0.43852901558847923;0.5356143810225276;0.3660149997115376;0.43852901558847923;0.6000000000000001;0.5356143810225276;0.43852901558847923;0.3356143810225276;0.3660149997115376;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.4;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.0;0.3660149997115376;0.4;0.4;0.3660149997115376;0.0;0.3356143810225276;0.0;0.0;0.0;0.2599120563717816;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.3356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.4;0.48300749985576874;0.3660149997115376;0.0;0.3660149997115376;0.0;0.4;0.43852901558847923;0.0;0.4;0.4;0.3081136762725405;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.4;1.0;0.48300749985576874;0.0;0.0;0.2830074998557688;0.0;0.3081136762725405;0.3356143810225276;0.0;0.0;0.0;0.0;0.4;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.4;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.4;0.0;0.43852901558847923;0.3356143810225276;0.0;0.3356143810225276;0.6000000000000001;0.0;0.3356143810225276;0.0;0.4;0.3356143810225276;0.48300749985576874;0.0;0.8;0.3356143810225276
GO:0010906;0.43852901558847923;0.0;0.3660149997115376;0.0;0.48300749985576874;0.4;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.0;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.0;0.0;0.4;0.48300749985576874;0.4;0.3660149997115376;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.4;0.4;0.43852901558847923;0.4;0.48300749985576874;0.4;0.48300749985576874;0.48300749985576874;0.0;0.43852901558847923;0.0;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.4;0.0;0.4;0.43852901558847923;0.4;0.4;0.0;0.4;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.4;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.4;0.0;0.4;0.0;0.3660149997115376;0.48300749985576874;0.0;0.4;0.43852901558847923;0.3081136762725405;0.48300749985576874;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.4;0.48300749985576874;1.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.3660149997115376;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.4;0.0;0.4;0.48300749985576874;0.0;0.4;0.0;0.4;0.43852901558847923;0.48300749985576874;0.0;0.48300749985576874;0.4
GO:0001755;0.0;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.8;0.8;0.0;0.4;0.0;0.0;0.0;0.6830074998557688;0.8;0.0;0.0;0.8;0.8;0.43852901558847923;0.8;0.43852901558847923;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.6000000000000001;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.48300749985576874;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.8;0.5356143810225276;0.48300749985576874;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.8;0.0;0.8;0.48300749985576874;0.5356143810225276;0.0;0.8;0.0;0.8;0.48300749985576874;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0
GO:0001756;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0070233;0.3081136762725405;0.0;0.2599120563717816;0.0;0.3356143810225276;0.2830074998557688;0.3081136762725405;0.3081136762725405;0.2830074998557688;0.3356143810225276;0.3660149997115376;0.2830074998557688;0.0;0.0;0.2830074998557688;0.0;0.3356143810225276;0.3356143810225276;0.3660149997115376;0.0;0.0;0.3356143810225276;0.2830074998557688;0.3081136762725405;0.3356143810225276;0.0;0.4;0.3356143810225276;0.3356143810225276;0.3660149997115376;0.0;0.0;0.2830074998557688;0.3081136762725405;0.2599120563717816;0.2599120563717816;0.43852901558847923;0.2599120563717816;0.3660149997115376;0.3081136762725405;0.3356143810225276;0.2599120563717816;0.2599120563717816;0.2830074998557688;0.3356143810225276;0.2830074998557688;0.3356143810225276;0.3356143810225276;0.0;0.3081136762725405;0.0;0.3081136762725405;0.3660149997115376;0.3081136762725405;0.2599120563717816;0.0;0.2599120563717816;0.2830074998557688;0.2830074998557688;0.2599120563717816;0.0;0.5356143810225276;0.0;0.0;0.0;0.18250743174993223;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.23852901558847928;0.2599120563717816;0.2830074998557688;0.0;0.3081136762725405;0.3356143810225276;0.3081136762725405;0.6000000000000001;0.0;0.2599120563717816;0.0;0.43852901558847923;0.4;0.0;0.43852901558847923;0.2830074998557688;0.21862188087829626;0.3081136762725405;0.0;0.2599120563717816;0.0;0.0;0.0;0.0;0.2830074998557688;0.2830074998557688;0.3356143810225276;0.0;0.0;1.0;0.0;0.3081136762725405;0.23852901558847928;0.0;0.0;0.0;0.0;0.2830074998557688;0.3081136762725405;0.0;0.0;0.21862188087829626;0.0;0.3356143810225276;0.3356143810225276;0.3081136762725405;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.3081136762725405;0.0;0.0;0.3081136762725405;0.0;0.2599120563717816;0.0;0.0;0.4;0.0;0.3081136762725405;0.2830074998557688;0.0;0.3356143810225276;0.2830074998557688;0.0;0.2830074998557688;0.0;0.2599120563717816;0.3356143810225276;0.3356143810225276;0.0;0.2830074998557688;0.6000000000000001
